DATETIME,MARK,LATITUDE_deg,LONGITUDE_deg,TWD_deg,TWS_km_h_1
2025-01-19 01:00:01+00:00,FL1,-36.83396630734207,174.7679575178773,69.76860866115302,34.63200000000001
2025-01-19 01:00:02+00:00,FL1,-36.83396905660628,174.7679609712214,69.79277932065801,34.446600000000004
2025-01-19 01:00:03+00:00,FL1,-36.83397054858504,174.76796138193458,69.74828333384198,34.728480000000005
2025-01-19 01:00:04+00:00,FL1,-36.83397306315602,174.7679603928699,69.81090731528671,35.40312
2025-01-19 01:00:05+00:00,FL1,-36.8339756699279,174.767961951904,69.99932859279153,35.36028
2025-01-19 01:00:06+00:00,FL1,-36.83397735469045,174.76796392165133,70.09271523178812,35.41752
2025-01-19 01:00:07+00:00,FL1,-36.83397913165391,174.7679641311991,70.12787255470442,35.718120000000006
2025-01-19 01:00:08+00:00,FL1,-36.83398264367133,174.76796447485722,70.32947782830286,35.61516
2025-01-19 01:00:09+00:00,FL1,-36.83398427814247,174.7679656147956,70.49372844630268,35.6058
2025-01-19 01:00:10+00:00,FL1,-36.83398592099549,174.76796756777927,70.49812311166724,35.35596
2025-01-19 01:00:11+00:00,FL1,-36.83398742135613,174.7679673833775,70.46516312143315,34.62768
2025-01-19 01:00:12+00:00,FL1,-36.83398970961571,174.76796771865344,70.63545640430922,34.456680000000006
2025-01-19 01:00:13+00:00,FL1,-36.83399064000695,174.7679687999186,70.84530167546617,34.4304
2025-01-19 01:00:14+00:00,FL1,-36.833991847000995,174.76796791143724,71.03592028565325,34.26156
2025-01-19 01:00:15+00:00,FL1,-36.833994101732976,174.7679687747731,71.2869655446028,34.147079999999995
2025-01-19 01:00:16+00:00,FL1,-36.83399521652609,174.767970442772,71.40617084261605,34.02252000000001
2025-01-19 01:00:17+00:00,FL1,-36.83399684261532,174.76797030027973,71.38914151432844,34.072559999999996
2025-01-19 01:00:18+00:00,FL1,-36.83399877045304,174.76797009073223,71.4017761772515,34.2558
2025-01-19 01:00:19+00:00,FL1,-36.834001528099165,174.76797071099276,71.54075746940518,34.117920000000005
2025-01-19 01:00:20+00:00,FL1,-36.834003824740655,174.7679713480172,71.74785607470932,34.14492
2025-01-19 01:00:21+00:00,FL1,-36.83400602079929,174.76797220297198,72.01208532975251,33.83064
2025-01-19 01:00:22+00:00,FL1,-36.834010396152735,174.76797325070947,72.32355723746453,33.423480000000005
2025-01-19 01:00:23+00:00,FL1,-36.8340140003711,174.76797519531098,72.610309152501,33.03216
2025-01-19 01:00:24+00:00,FL1,-36.834017336368575,174.7679758742452,72.87728507339702,33.1632
2025-01-19 01:00:25+00:00,FL1,-36.834021468646824,174.76797568146148,73.27060762352367,33.4422
2025-01-19 01:00:26+00:00,FL1,-36.83402610383926,174.7679776512086,73.62712485122226,33.59016
2025-01-19 01:00:27+00:00,FL1,-36.83402984216811,174.76798024959876,73.78972746971039,33.41232
2025-01-19 01:00:28+00:00,FL1,-36.834033312276006,174.76798127219078,73.78368480483415,33.12504
2025-01-19 01:00:29+00:00,FL1,-36.83403735235332,174.76798339281228,73.65129551072728,33.00192
2025-01-19 01:00:30+00:00,FL1,-36.83404144272208,174.7679859157653,73.46836756492812,32.589
2025-01-19 01:00:31+00:00,FL1,-36.834045063704245,174.7679869718849,73.34971160008544,31.943519999999996
2025-01-19 01:00:32+00:00,FL1,-36.83404960669575,174.76798988040537,73.47056489761039,31.132800000000003
2025-01-19 01:00:33+00:00,FL1,-36.83405456878245,174.76799268834299,73.60130619220557,30.39912
2025-01-19 01:00:34+00:00,FL1,-36.83405734319239,174.7679939540105,73.48924222540974,30.28248
2025-01-19 01:00:35+00:00,FL1,-36.83406095579267,174.767995974049,73.4573809015168,30.284640000000003
2025-01-19 01:00:36+00:00,FL1,-36.834064023569226,174.76799872331318,73.39750358592485,30.22704
2025-01-19 01:00:37+00:00,FL1,-36.83406580891462,174.7680003326384,73.29258095034639,30.09816
2025-01-19 01:00:38+00:00,FL1,-36.8340678792447,174.7680015228688,73.22611163670766,30.096720000000005
2025-01-19 01:00:39+00:00,FL1,-36.83406963106245,174.7680040039123,72.97396771141699,29.73852
2025-01-19 01:00:40+00:00,FL1,-36.83407147508115,174.7680057724935,72.68007446516313,29.272319999999997
2025-01-19 01:00:41+00:00,FL1,-36.834072053432465,174.7680058646944,72.3032319101535,29.0034
2025-01-19 01:00:42+00:00,FL1,-36.83407333586365,174.7680077003315,71.90716269417402,29.150640000000003
2025-01-19 01:00:43+00:00,FL1,-36.83407454285771,174.76801062561563,71.45231482894376,29.19276
2025-01-19 01:00:44+00:00,FL1,-36.83407548163086,174.76801076810787,70.96340830713828,29.36916
2025-01-19 01:00:45+00:00,FL1,-36.83407620247453,174.7680113464593,70.61787774285104,29.849400000000003
2025-01-19 01:00:46+00:00,FL1,-36.834077761508524,174.7680131737142,70.23883785515916,29.736
2025-01-19 01:00:47+00:00,FL1,-36.83407870866356,174.76801402028642,69.73509933774834,29.64276
2025-01-19 01:00:48+00:00,FL1,-36.83407906908541,174.76801501773323,69.09897152623068,29.30184
2025-01-19 01:00:49+00:00,FL1,-36.8340808628127,174.7680150680246,68.58699301126133,28.760039999999996
2025-01-19 01:00:50+00:00,FL1,-36.83408170938492,174.76801720540982,68.10357982116155,28.306079999999998
2025-01-19 01:00:51+00:00,FL1,-36.83408310916276,174.7680179346354,67.49272133548996,28.85976
2025-01-19 01:00:52+00:00,FL1,-36.834084383212016,174.7680182447657,67.01095614490188,29.962079999999997
2025-01-19 01:00:53+00:00,FL1,-36.83408603444695,174.76801897399102,66.4775536362804,30.858120000000003
2025-01-19 01:00:54+00:00,FL1,-36.83408766891806,174.76802008878448,65.97436445204016,31.561560000000004
2025-01-19 01:00:55+00:00,FL1,-36.83408917766063,174.76802080962807,65.54533524582659,31.85532
2025-01-19 01:00:56+00:00,FL1,-36.83409033436328,174.76801987923722,65.21628467665639,31.972320000000003
2025-01-19 01:00:57+00:00,FL1,-36.83409284055233,174.7680212035775,65.10147404400769,31.831199999999995
2025-01-19 01:00:58+00:00,FL1,-36.834093167446554,174.76802287995838,65.11960203863643,31.05648
2025-01-19 01:00:59+00:00,FL1,-36.83409577421845,174.7680220417676,65.46073793755912,30.96504
2025-01-19 01:01:00+00:00,FL1,-36.83409643638881,174.76802363432935,65.91613513595995,31.128480000000003
2025-01-19 01:01:01+00:00,FL1,-36.834097433835275,174.7680237097665,65.98974578081605,31.17744
2025-01-19 01:01:02+00:00,FL1,-36.83409973885864,174.7680239360778,66.06775109103671,31.245480000000004
2025-01-19 01:01:03+00:00,FL1,-36.83410007413477,174.768024422228,65.96832178716392,31.37148
2025-01-19 01:01:04+00:00,FL1,-36.83410218637438,174.7680238522588,65.83977782525103,31.645799999999998
2025-01-19 01:01:05+00:00,FL1,-36.83410446625201,174.7680237600579,65.65025788140508,31.83372
2025-01-19 01:01:06+00:00,FL1,-36.83410563133656,174.7680244389918,65.40031128879664,32.041799999999995
2025-01-19 01:01:07+00:00,FL1,-36.83410786092283,174.7680239863692,65.2074953459273,32.3064
2025-01-19 01:01:08+00:00,FL1,-36.83410895895215,174.7680224273356,65.1355327005829,32.664959999999994
2025-01-19 01:01:09+00:00,FL1,-36.83410961274057,174.768022377044,65.0547807245094,34.10316
2025-01-19 01:01:10+00:00,FL1,-36.834110031835735,174.7680225446821,64.99270607623525,35.748
2025-01-19 01:01:11+00:00,FL1,-36.834110761061346,174.7680204492064,64.96578875087741,38.03976
2025-01-19 01:01:12+00:00,FL1,-36.83411061856894,174.76802052464348,64.85647144993442,38.77416
2025-01-19 01:01:13+00:00,FL1,-36.83411128073929,174.76802060008058,64.50379955442978,38.21796
2025-01-19 01:01:14+00:00,FL1,-36.83411198481917,174.76801976189023,64.40711691640982,38.13731999999999
2025-01-19 01:01:15+00:00,FL1,-36.834112454205766,174.7680197199808,64.29010895107882,38.14596
2025-01-19 01:01:16+00:00,FL1,-36.83411261346192,174.76801981218193,64.05279702139347,38.191320000000005
2025-01-19 01:01:17+00:00,FL1,-36.834113837219775,174.76801915001093,63.86767174291208,38.26944
2025-01-19 01:01:18+00:00,FL1,-36.8341146586463,174.76801906619193,63.77922910245063,38.36232
2025-01-19 01:01:19+00:00,FL1,-36.83411636855451,174.76801892369963,63.664418469801944,38.44332000000001
2025-01-19 01:01:20+00:00,FL1,-36.8341170726344,174.76801727246502,63.47105319376202,38.501999999999995
2025-01-19 01:01:21+00:00,FL1,-36.834119184874,174.7680173730479,63.411175878170106,38.57544
2025-01-19 01:01:22+00:00,FL1,-36.83412122167646,174.76801740657552,63.48643452253792,38.621159999999996
